1,2,3,4,5,6,7,8,9,y
1,-1.9167,1.4385,-0.82821,0.42123,-0.39315,0.74763,-0.59187,0.19184,one
1,-2.3673,2.6107,-2.1562,1.2082,-0.34645,0.37567,-0.3851,0.098281,one
1,-1.3908,0.14312,0.17524,0.11432,-0.15476,0.62782,-0.70089,0.24103,one
1,-1.4037,0.31958,0.12585,0.011132,-0.21194,0.67232,-0.65737,0.24797,one
1,-1.7406,1.1905,-0.86965,0.8667,-0.93769,1.2955,-1.0631,0.33373,one
1,-1.9474,1.5595,-0.96798,0.74836,-1.0226,1.4713,-1.1312,0.35097,one
1,-2.5388,3.068,-2.6311,1.8354,-1.1013,0.78124,-0.5749,0.20923,one
1,-3.5385,6.6568,-8.7703,8.4757,-6.0974,3.3015,-1.2339,0.23221,one
1,-1.8286,0.83614,0.14313,0.50989,-1.1602,0.68113,-0.041054,-0.030956,one
1,-2.3175,2.5363,-2.1833,1.7176,-1.0873,0.6613,-0.33442,0.071829,one
1,-3.006,4.5757,-5.1485,4.5643,-3.037,1.7175,-0.91973,0.27909,one
1,-3.0161,3.2797,-1.1428,-0.54139,0.097895,1.3417,-1.5619,0.55867,one
1,-2.0199,1.8556,-1.1697,0.799,-0.98238,1.2308,-0.83127,0.18224,one
1,-1.6871,1.1904,-0.82466,0.65373,-0.46612,0.34022,-0.25482,0.14692,one
1,-1.6617,1.1893,-0.86431,0.70897,-0.56437,0.39186,-0.22461,0.10687,one
1,-1.5599,0.80032,-0.40909,0.49954,-0.59025,0.42593,-0.198,0.037811,one
1,-1.7313,1.4723,-1.0077,0.57242,-0.66796,0.76702,-0.59052,0.20037,one
1,-2.7294,2.6155,-1.142,0.86203,-1.4695,1.4485,-0.71181,0.13211,one
1,-3.0543,3.5814,-2.2525,1.7227,-2.342,2.2597,-1.1402,0.23191,one
1,-3.0378,3.6107,-2.3007,1.352,-1.4791,1.6679,-1.1272,0.3205,one
1,-1.5517,0.77108,-0.29899,-0.0074273,-0.16086,0.65541,-0.344,0.0094736,one
1,-2.0687,2.1078,-1.5853,0.76313,-0.14822,-0.12309,0.38289,-0.25572,one
1,-2.3774,2.2673,-2.0974,2.4509,-1.5227,0.4861,-0.45497,0.27663,one
1,-2.8015,3.6652,-3.1164,2.0131,-1.2116,0.82226,-0.40227,0.06904,one
1,-1.9266,1.022,0.52737,-1.1504,0.68861,0.54493,-1.1349,0.51784,one
1,-2.93,3.6662,-3.0616,2.1382,-0.96668,0.36987,-0.39555,0.19993,one
1,-2.9156,3.4447,-2.5654,1.5934,-0.56502,0.21409,-0.44253,0.24743,one
1,-2.8757,3.5131,-3.2862,3.637,-3.2993,1.7622,-0.52435,0.090143,one
1,-2.5138,2.4835,-1.3038,0.24375,0.29533,0.007775,-0.34765,0.1671,one
1,-2.1915,1.8615,-1.0559,0.6641,-0.54975,0.64813,-0.42413,0.092273,one
1,-1.6736,1.2217,-0.94505,0.54632,-0.32058,0.58544,-0.22411,-0.10028,one
1,-1.9111,1.4188,-0.74056,0.25258,-0.036308,0.48226,-0.51972,0.13663,one
1,-2.0706,1.9976,-1.8319,1.5814,-1.1957,1.215,-0.77699,0.14063,one
1,-2.9555,3.9229,-3.2231,2.0382,-1.2904,0.98339,-0.66687,0.23626,one
1,-2.0099,1.5823,-1.3935,1.3164,-0.63029,0.26966,0.013466,-0.14341,one
1,-1.9943,1.3447,-0.94178,1.2135,-0.86835,0.41874,-0.099546,-0.069148,one
1,-2.197,1.9558,-0.78021,0.26904,-0.69908,1.5604,-1.5957,0.66746,one
1,-2.2696,2.1309,-1.2445,0.77982,-0.74781,0.98383,-0.86583,0.33465,one
1,-2.2487,2.1016,-0.96979,0.24637,-0.81187,1.6612,-1.3292,0.42002,one
1,-2.302,2.3764,-2.0645,1.7312,-1.4747,1.3073,-0.50044,-0.054852,one
1,-1.7169,0.52365,0.25938,-0.0093078,-0.089145,-0.0059661,0.14037,-0.083566,one
1,-2.8986,3.9785,-4.2651,4.3796,-4.046,3.1724,-1.7571,0.45518,one
1,-2.9992,4.3035,-4.5888,4.5354,-4.2663,3.4538,-1.8935,0.47497,one
1,-2.7012,3.5297,-3.8361,3.8779,-3.3843,2.7155,-1.6075,0.42527,one
1,-3.0975,4.5318,-4.8274,4.649,-4.0791,2.9489,-1.4274,0.31659,one
1,-2.4636,3.2912,-3.7875,3.9568,-3.4723,2.6281,-1.4368,0.39276,one
1,-2.4899,3.585,-4.5034,4.684,-3.7981,2.5756,-1.2501,0.29821,one
1,-2.7305,4.0486,-4.9658,5.1066,-4.0359,2.5776,-1.2331,0.30516,one
1,-2.4516,3.3543,-4.0856,4.1828,-3.3613,2.2729,-1.0488,0.21071,one
1,-2.5529,3.5338,-4.1595,4.126,-3.111,1.8774,-0.77768,0.13421,one
1,-2.4281,3.1884,-3.7785,4.0385,-3.447,2.4845,-1.3533,0.38442,one
1,-2.9105,4.8154,-5.6365,4.9621,-3.6978,2.2593,-1.0507,0.32477,one
1,-1.8702,0.85599,0.18142,-0.41967,0.049526,0.93129,-0.9047,0.20221,one
1,-2.3843,2.3114,-1.2293,0.21053,-0.093409,0.69171,-0.64087,0.16503,one
1,-2.7711,4.2493,-4.8553,4.3812,-3.1181,1.8235,-0.7842,0.14654,one
1,-2.7896,4.812,-6.2134,6.1976,-4.7408,2.8111,-1.1272,0.24411,one
1,-2.8998,4.3211,-5.2137,5.232,-4.3057,3.017,-1.3506,0.20822,one
1,-2.8892,3.6006,-2.7906,1.745,-1.3053,1.444,-1.1229,0.34104,one
1,-2.3392,2.5768,-2.6509,2.7619,-1.9435,1.042,-0.68221,0.3023,one
1,-1.4629,-0.15301,0.28258,0.68442,-0.1353,0.31476,-0.92476,0.42259,one
1,-1.5202,-0.079709,0.28321,0.69923,-0.2452,0.44333,-1.0058,0.4498,one
1,-1.5071,0.87186,-0.58922,0.38448,-0.62415,0.58498,-0.14526,0.060199,one
1,-2.3422,2.5253,-1.9111,1.48,-1.2429,1.0766,-0.65738,0.19699,one
1,-3.3444,5.521,-6.1102,4.6286,-2.1756,0.50428,0.048673,-0.051003,one
1,-2.7201,2.7683,-1.6871,1.3138,-1.1894,1.1296,-0.96004,0.35507,one
1,-2.444,2.778,-2.3807,1.9935,-1.2489,0.53783,-0.33823,0.19475,one
1,-0.85437,0.025007,-0.74463,1.1139,-0.34554,0.34237,-0.60664,0.3789,one
1,-2.7578,3.0187,-1.856,0.97967,-0.99548,1.4743,-1.2339,0.3819,one
1,-2.3136,2.7045,-2.3765,1.4885,-0.77562,0.53005,-0.28031,0.080459,one
1,-2.1847,1.9746,-0.47142,-0.63536,0.15082,1.0475,-1.2139,0.50015,one
1,-1.7528,0.86934,-0.50339,0.42098,-0.047418,0.63872,-0.91006,0.3074,one
1,-1.8191,1.1098,-0.73278,0.56949,-0.11856,0.35535,-0.54789,0.20738,one
1,-2.1414,1.8845,-1.6362,1.6836,-0.86968,0.015293,0.1411,-0.053834,one
1,-1.5358,0.6491,-0.54358,0.84111,-0.36885,0.37197,-0.60252,0.24761,one
1,-1.9474,1.2742,-0.49478,0.49622,-0.65259,0.90383,-0.81992,0.27612,one
1,-2.3925,2.3845,-1.5014,0.57969,-0.11576,0.3473,-0.37209,0.097518,one
1,-3.0486,4.5091,-4.5391,3.2571,-1.5474,0.63012,-0.33947,0.12106,one
1,-3.3995,5.2215,-4.6618,2.2603,0.01517,-0.62578,0.18162,0.039944,one
1,-3.3301,5.1806,-5.4144,4.3793,-2.7698,1.5794,-0.89222,0.29103,one
1,-3.744,6.8457,-8.3034,7.2422,-4.4232,1.902,-0.65026,0.15865,one
1,-3.3952,5.5085,-6.1769,5.6696,-4.4624,3.0422,-1.5664,0.41134,one
1,-2.7359,2.8273,-1.4063,0.61398,-1.0973,1.9127,-1.6237,0.52317,one
1,-2.7938,4.1452,-4.7169,4.4847,-3.562,2.3445,-1.1157,0.27662,one
1,-2.6343,3.0684,-2.8714,2.5657,-1.8189,1.4457,-1.1698,0.43056,one
1,-2.7173,3.2317,-2.7298,2.3796,-2.269,2.0122,-1.244,0.36372,one
1,-3.0096,4.2191,-4.0342,2.9315,-1.5368,0.55849,-0.10439,-0.0020807,one
1,-2.7694,3.3834,-2.8587,2.1205,-1.5408,1.2206,-0.73132,0.19836,one
1,-2.5324,2.8256,-2.5989,2.4418,-2.1174,2.1257,-1.6902,0.57554,one
1,-1.0295,-0.1541,0.053635,0.31556,-0.65635,0.72066,0.05676,-0.18699,one
1,-2.9113,3.5284,-2.5728,1.4543,-0.68073,0.17861,0.068032,-0.055453,one
1,-2.9165,3.6126,-2.8626,1.8666,-0.80165,-0.12581,0.38879,-0.15254,one
1,-2.7532,3.1061,-2.1171,1.0885,-0.24616,-0.40383,0.56852,-0.23597,one
1,-2.7741,2.9872,-1.5546,0.46524,-0.47675,0.76377,-0.54783,0.14588,one
1,-2.3477,1.9982,-0.95898,0.53312,-0.40511,0.18995,0.096428,-0.098302,one
1,-2.4097,2.1966,-1.5059,1.8485,-2.1141,1.6574,-0.94033,0.27277,one
1,-2.3868,2.3194,-1.8814,2.1572,-2.1552,1.6959,-1.0885,0.35261,one
1,-3.7064,5.9498,-5.3181,3.0425,-1.8976,1.9843,-1.5248,0.48179,one
1,-3.7638,6.3142,-6.186,3.9245,-1.9824,1.3438,-0.94894,0.31051,one
1,-2.3844,2.1533,-1.1265,0.96906,-1.1792,0.96974,-0.4509,0.075922,one
1,-2.7025,3.2954,-2.4976,1.5313,-1.095,1.0887,-0.91524,0.36109,one
