1,2,3,4,y
1,-2.5897,2.2349,-0.63157,one
1,-2.2788,1.8551,-0.53589,one
1,-2.2487,1.8143,-0.51904,one
1,-2.3687,1.883,-0.4821,one
1,-2.6338,2.4364,-0.7855,one
1,-1.7906,1.0026,-0.12101,one
1,-1.6272,0.60393,0.096709,one
1,-2.0686,1.4971,-0.37478,one
1,-2.1419,1.5766,-0.37368,one
1,-2.2284,1.6816,-0.39865,one
1,-2.4724,2.1805,-0.68591,one
1,-2.6824,2.4851,-0.79165,one
1,-2.0392,1.2583,-0.20058,one
1,-2.1439,1.4415,-0.27996,one
1,-2.1249,1.6113,-0.46432,one
1,-2.278,1.7469,-0.43731,one
1,-2.1574,1.6264,-0.40007,one
1,-2.1848,1.6188,-0.39029,one
1,-2.2947,1.8518,-0.50909,one
1,-2.1896,1.7077,-0.4508,one
1,-2.1219,1.5624,-0.37208,one
1,-2.3396,1.8145,-0.45373,one
1,-2.5704,2.369,-0.76909,one
1,-2.1343,1.641,-0.47968,one
1,-2.2045,1.7893,-0.55443,one
1,-1.9253,1.7344,-0.76789,one
1,-1.9428,1.174,-0.16569,one
1,-2.3238,1.9086,-0.54346,one
1,-2.1418,1.5624,-0.36539,one
1,-2.5684,2.2503,-0.67562,one
1,-2.1514,1.6182,-0.41545,one
1,-2.1885,1.6823,-0.45677,one
1,-1.0741,-0.11499,0.37285,one
1,-1.4898,0.43698,0.053543,one
1,-1.58,0.53963,0.064355,one
1,-1.3334,0.091302,0.28955,one
1,-1.5657,0.51596,0.088471,one
1,-1.9572,1.1641,-0.16312,one
1,-2.0476,1.3781,-0.27634,one
1,-1.993,1.5347,-0.44584,one
1,-1.5905,0.53032,0.15053,one
1,-1.2946,0.021974,0.35186,one
1,-1.8448,0.97735,-0.038728,one
1,-1.8723,1.0274,-0.066429,one
1,-1.6676,0.74992,0.019698,one
1,-2.0987,1.5465,-0.37744,one
1,-2.1267,1.4856,-0.3122,one
1,-2.1943,1.5545,-0.32578,one
1,-2.265,1.7465,-0.44495,one
1,-2.2097,1.6952,-0.45114,one
1,-2.0618,1.3835,-0.2802,one
1,-2.1326,1.7187,-0.55561,one
1,-2.2947,1.769,-0.45265,one
1,-2.2947,1.769,-0.45265,one
1,-2.5609,2.3832,-0.80304,one
1,-2.551,2.3707,-0.79758,one
1,-2.3914,1.9591,-0.56461,one
1,-1.4038,0.27639,0.15723,one
1,-2.061,1.5273,-0.41445,one
1,-2.0239,1.5913,-0.49373,one
1,-2.2293,1.8077,-0.54148,one
1,-2.4536,2.1096,-0.61571,one
1,-2.476,2.1655,-0.65046,one
1,-2.6082,2.3962,-0.76684,one
1,-1.928,1.2861,-0.2527,one
1,-1.713,0.65521,0.10348,one
1,-2.1581,1.4724,-0.27906,one
1,-1.8032,0.99925,-0.076467,one
1,-1.2895,0.028549,0.29821,one
1,-2.2428,1.892,-0.62359,one
1,-2.1371,1.7492,-0.5684,one
1,-1.8855,1.2762,-0.31352,one
1,-2.0979,1.7101,-0.55921,one
1,-2.2132,1.8215,-0.57804,one
1,-1.9451,1.3172,-0.31864,one
1,-2.04,1.5208,-0.43212,one
1,-1.9472,1.6616,-0.66569,one
1,-1.3903,0.60038,-0.086489,one
1,-2.3889,1.9912,-0.57179,one
1,-1.9979,1.3355,-0.29512,one
1,-1.8905,1.1211,-0.18619,one
1,-2.2257,1.6433,-0.38035,one
1,-2.5864,2.3071,-0.71111,one
1,-2.3579,1.8838,-0.5113,one
1,-2.3582,1.9277,-0.54691,one
1,-2.3572,1.8912,-0.51848,one
1,-2.2398,1.6777,-0.42064,one
1,-2.0723,1.3229,-0.23317,one
1,-2.2201,1.568,-0.33625,one
1,-2.5727,2.2947,-0.70488,one
1,-1.8853,0.97861,-0.035689,one
1,-1.5372,1.0076,-0.37012,one
1,-2.424,2.0732,-0.61216,one
1,-2.0846,1.4955,-0.36162,one
1,-2.1156,1.5792,-0.41175,one
1,-1.7658,1.0979,-0.28112,one
1,-2.0904,1.5673,-0.44978,one
1,-1.9533,1.2168,-0.2315,one
1,-1.8838,1.2396,-0.27311,one
1,-1.1921,0.87396,-0.27665,one
1,-2.2132,1.6073,-0.36268,one
1,-2.6182,2.3483,-0.71983,one
1,-1.8788,0.93685,-0.020747,one
1,-2.5394,2.1935,-0.64031,one
1,-2.3879,1.9258,-0.51514,one
1,-1.6408,0.54885,0.16236,one
1,-1.7875,1.1184,-0.29068,one
1,-1.6214,1.3335,-0.56789,one
1,-2.1427,1.6753,-0.49411,one
1,-2.2,1.7949,-0.56667,one
1,-2.3611,1.9987,-0.60896,one
1,-2.3207,1.854,-0.51153,one
1,-2.0658,1.6266,-0.52339,one
1,-1.5098,0.36584,0.20066,one
1,-2.2431,2.0108,-0.72707,one
1,-2.0435,1.6422,-0.54827,one
1,-2.0319,1.5223,-0.43703,one
1,-2.1771,1.7091,-0.4852,one
1,-1.9547,1.6322,-0.58805,one
1,-2.1859,1.7608,-0.53318,one
1,-2.3766,2.0202,-0.61182,one
1,-1.7127,1.2284,-0.5118,one
1,-2.2116,1.706,-0.4786,one
1,-2.1226,1.4598,-0.33021,one
1,-2.0746,1.4016,-0.31628,one
1,-0.71577,0.23034,-0.50263,one
1,-2.0711,1.3205,-0.2411,one
1,-2.0853,1.7269,-0.52732,one
1,-1.836,0.92477,-0.044132,one
1,-1.6953,1.3738,-0.57397,one
1,-1.7554,1.573,-0.74715,one
1,-1.508,1.4045,-0.81299,one
1,-2.0918,1.5013,-0.39322,one
1,-2.0654,1.4383,-0.35664,one
1,-2.5863,2.3166,-0.71465,one
1,-2.571,2.3003,-0.71211,one
1,-2.5721,2.2679,-0.68019,one
1,-2.5247,2.2099,-0.66428,one
1,-1.7174,1.1696,-0.42308,one
1,-2.2106,1.7269,-0.47942,one
1,-2.5052,2.2585,-0.70317,one
1,-2.3758,2.1604,-0.75392,one
1,-2.4926,2.2484,-0.72913,one
1,-2.1323,1.7761,-0.56695,one
1,-2.2208,1.8349,-0.53716,one
1,-1.9226,1.2927,-0.25703,one
1,-2.1699,1.8638,-0.62051,one
1,-1.8837,1.3607,-0.38093,one
1,-2.2755,1.7942,-0.4895,one
1,-2.0747,1.4671,-0.35371,one
1,-1.7894,1.0348,-0.20131,one
1,-2.1399,1.5469,-0.36807,one
1,-2.3418,1.8756,-0.50964,one
1,-1.9114,1.2259,-0.29202,one
1,-2.3603,1.9662,-0.58654,one
1,-2.0851,1.4046,-0.28957,one
1,-2.3317,1.8206,-0.4641,one
1,-2.4429,2.0072,-0.54777,one
1,-1.645,1.5647,-0.80545,one
1,-1.8848,1.6584,-0.6982,one
1,-1.6637,1.6095,-0.8263,one
1,-2.2381,1.6286,-0.3618,one
1,-1.8594,1.1392,-0.22361,one
1,-1.3935,0.36201,0.12746,one
1,-1.8971,1.2275,-0.27122,one
1,-1.9451,1.3354,-0.32466,one
1,-0.85074,0.2389,-0.28638,one
1,-2.4663,2.069,-0.58654,one
1,-2.4498,2.0889,-0.62207,one
1,-2.4563,2.1635,-0.69267,one
1,-1.8299,1.116,-0.19685,one
1,-2.1058,1.6751,-0.47339,one
1,-2.2677,1.6382,-0.37014,one
1,-2.7549,2.5978,-0.84248,one
1,-2.6582,2.4318,-0.77171,one
1,-2.1802,1.7503,-0.52887,one
1,-2.1722,1.6634,-0.45044,one
1,-2.0208,1.2551,-0.21571,one
1,-2.2023,1.5823,-0.36291,one
1,-2.1828,1.5313,-0.3372,one
1,-2.2043,1.6177,-0.40204,one
1,-1.6343,0.57522,0.088924,one
1,-2.3542,1.8666,-0.47681,one
1,-2.4506,2.0637,-0.58692,one
1,-1.9629,1.3627,-0.32819,one
1,-2.3462,1.9013,-0.5389,one
1,-2.5433,2.2424,-0.69119,one
1,-2.0118,1.3061,-0.25263,one
1,-2.1804,1.5955,-0.36748,one
1,-2.0696,1.3907,-0.27627,one
1,-1.9085,1.178,-0.22894,one
1,-2.0892,1.627,-0.51043,one
1,-1.7895,1.0364,-0.17869,one
1,-1.7522,0.99102,-0.15503,one
1,-2.5024,2.2056,-0.68567,one
1,-1.134,0.54136,-0.24398,one
1,-1.9371,1.3122,-0.30121,one
1,-2.0047,1.2593,-0.17987,one
1,-2.0858,1.4141,-0.26117,one
1,-2.2252,1.666,-0.38479,one
1,-1.9152,1.2892,-0.30489,one
1,-1.9012,1.172,-0.21043,one
1,-1.8643,1.4391,-0.48029,one
1,-1.8209,0.91083,-0.071708,one
1,-1.8456,0.98162,-0.10361,one
1,-1.6224,1.2519,-0.46841,one
1,-1.7942,0.98224,-0.12435,one
1,-1.8993,1.0425,-0.096914,one
1,-1.8117,1.2077,-0.29386,one
1,-1.7231,1.2956,-0.49366,one
1,-1.3085,0.57288,-0.15351,one
1,-1.9258,1.2954,-0.31958,one
1,-1.8061,0.98687,-0.10739,one
1,-1.7252,0.94267,-0.14579,one
1,-1.9329,1.2317,-0.24574,one
1,-2.0353,1.6978,-0.62181,one
1,-1.9175,1.0242,-0.074405,one
1,-1.6807,0.83455,-0.12725,one
1,-1.5942,0.91807,-0.2126,one
1,-2.2074,1.8823,-0.62242,one
1,-2.2178,1.8985,-0.62657,one
1,-2.1117,1.6399,-0.49664,one
1,-1.9051,1.2015,-0.22777,one
1,-1.0931,0.097576,0.17265,one
1,-1.223,0.16026,0.20412,one
1,-1.2213,0.28597,0.056861,one
1,-1.5334,0.35874,0.20141,one
1,-1.8295,0.85192,0.007832,one
1,-1.4891,0.24143,0.27137,one
1,-1.3059,0.35418,-0.0071479,one
1,-1.806,0.83546,-0.011444,one
1,-1.8734,0.89598,0.027601,one
1,-2.0001,1.2278,-0.18281,one
1,-1.8657,1.2331,-0.27811,one
1,-1.5248,0.37453,0.16181,one
1,-1.5378,0.46408,0.085288,one
1,-1.768,0.79756,-0.0042027,one
1,-2.3767,2.076,-0.65292,one
1,-2.457,2.2175,-0.73134,one
1,-2.3356,1.9825,-0.60356,one
1,-2.5286,2.2827,-0.7351,one
1,-2.2931,1.9118,-0.56507,one
1,-2.1587,1.6346,-0.44318,one
1,-1.9241,1.5078,-0.53392,one
1,-1.6931,1.3478,-0.57913,one
1,-1.8263,1.2927,-0.39626,one
1,-1.9821,1.4705,-0.42651,one
1,-1.9298,1.4533,-0.46826,one
1,-2.2931,1.8482,-0.5415,one
1,-1.7099,0.93852,-0.08464,one
1,-1.5266,0.62598,0.081123,one
1,-1.7685,0.94495,-0.071596,one
1,-1.539,1.2147,-0.62864,one
1,-2.2185,1.7479,-0.50317,one
1,-2.2433,1.8616,-0.59759,one
1,-2.1729,1.7417,-0.49533,one
1,-2.3027,1.8364,-0.50045,one
1,-2.2975,1.961,-0.60176,one
1,-1.4893,0.73824,-0.13929,one
1,-1.1646,0.46096,-0.15004,one
