1,2,3,4,5,6,7,y
1,-2.147,2.0722,-0.81916,-0.55595,0.85055,-0.26725,one
1,-1.7533,0.95182,-0.49021,0.12102,0.50875,-0.30858,one
1,-1.8166,1.1247,-0.67746,0.35088,0.23544,-0.19308,one
1,-2.1445,1.917,-1.7352,1.8243,-1.0102,0.17263,one
1,-1.5085,0.56602,-0.34131,0.59337,-0.11555,-0.13208,one
1,-1.8535,1.0352,-0.24459,0.31413,-0.24232,0.031331,one
1,-2.4099,2.4251,-1.459,0.32376,0.37073,-0.22178,one
1,-3.0576,4.5333,-4.5078,3.0407,-1.1488,0.17731,one
1,-3.5003,5.7743,-5.9636,4.0695,-1.6341,0.27715,one
1,-3.3851,5.305,-5.3577,3.8424,-1.7504,0.3628,one
1,-3.6988,6.5508,-7.462,5.8197,-2.8078,0.62339,one
1,-3.2561,4.8542,-4.5964,3.0777,-1.3208,0.26891,one
1,-2.6232,2.5629,-1.1175,0.10702,0.18121,-0.098004,one
1,-2.5628,3.3392,-3.1741,2.3346,-1.2046,0.34565,one
1,-2.6138,2.977,-2.4898,1.6848,-0.58522,0.038834,one
1,-2.5472,2.6804,-1.8406,1.2027,-0.68091,0.21386,one
1,-2.9836,4.0995,-3.7584,2.5218,-1.0916,0.23712,one
1,-2.7211,3.1925,-2.4088,1.3132,-0.40885,0.056449,one
1,-2.3578,2.3578,-1.7347,0.94626,-0.10922,-0.073531,one
1,-0.9742,-0.11656,-0.017347,0.3857,-0.68613,0.57988,one
1,-2.9069,3.5026,-2.4963,1.3058,-0.49776,0.10306,one
1,-2.9099,3.6182,-2.9392,2.0337,-1.06,0.26824,one
1,-2.7639,3.1437,-2.1972,1.2358,-0.51954,0.11101,one
1,-2.7628,2.9643,-1.4898,0.18814,0.17812,-0.068923,one
1,-2.3514,2.005,-0.94574,0.46293,-0.23224,0.071135,one
1,-2.1805,1.4583,-0.6176,1.2635,-1.3943,0.47649,one
1,-2.1778,1.6138,-0.90272,1.3403,-1.2485,0.38858,one
1,-3.934,7.02,-7.2728,4.5248,-1.5202,0.18792,one
1,-3.9042,6.954,-7.3264,4.7763,-1.7593,0.26679,one
1,-2.3142,1.9358,-0.86204,0.66669,-0.57458,0.18277,one
1,-2.7328,3.3693,-2.508,1.2999,-0.45689,0.074024,one
1,-2.593,2.9022,-1.7456,0.4964,0.094483,-0.11378,one
1,-2.2216,2.2415,-1.1448,-0.059932,0.46621,-0.20276,one
1,-2.0045,1.6974,-0.56753,-0.36445,0.5029,-0.14055,one
1,-2.4756,2.4888,-1.564,0.78655,-0.21473,0.010832,one
1,-2.2201,2.2049,-1.2517,0.087639,0.34332,-0.092057,one
1,-2.3287,2.1263,-0.64825,-0.85281,1.0595,-0.30899,one
1,-2.3782,2.2195,-0.67884,-0.98611,1.2993,-0.4342,one
1,-2.4179,2.3894,-1.1982,-0.17113,0.7073,-0.27111,one
1,-0.49376,0.13255,-0.3299,-0.025923,-0.18241,-0.025224,one
1,-2.3438,2.1918,-0.73554,-0.87179,1.1774,-0.37003,one
1,-2.5284,2.4055,-1.3744,0.96934,-0.62194,0.1661,one
