1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,y
1,-2.3985,1.993,-1.0714,1.0314,-1.6194,2.7501,-2.7247,2.0045,-1.8226,1.5115,-1.9032,2.3886,-1.7773,1.0183,-0.4928,0.75041,-1.3694,0.95789,-0.21356,0.0014565,one
1,-2.2964,2.1082,-1.6535,1.636,-1.2841,1.1241,-1.0615,1.1432,-1.6035,1.3866,-0.89888,0.97087,-0.86899,0.71434,-0.7039,0.56621,-0.65121,0.68095,-0.32737,0.049338,one
1,-3.0073,4.7074,-6.0134,6.6048,-6.1108,5.3546,-4.3325,3.3192,-2.8628,2.4461,-2.0718,1.7745,-1.3192,1.0557,-0.83548,0.4506,-0.11221,-0.13145,0.15948,-0.037193,one
1,-4.5298,10.9819,-19.0507,26.0112,-29.2913,28.4963,-25.0743,21.0869,-18.3336,17.2866,-17.0545,16.4426,-14.5147,11.1712,-7.3894,4.2064,-2.0573,0.9039,-0.36248,0.097912,one
1,-3.2917,5.6587,-7.302,7.8663,-7.5452,7.4672,-7.8737,8.3064,-8.8019,8.9036,-8.1003,6.8046,-5.2084,3.5938,-2.7004,2.3624,-2.0044,1.5069,-0.83832,0.24331,one
1,-1.9336,1.4242,-1.1354,1.4284,-1.5669,1.7212,-1.5676,1.5291,-1.5526,1.3259,-1.2938,1.1799,-0.96284,0.89329,-0.71116,0.62524,-0.5026,0.32053,-0.2644,0.13081,one
1,-1.7395,1.4975,-1.9244,1.799,-1.7228,2.7576,-2.5155,2.2349,-2.3225,1.6089,-1.5508,1.6581,-1.2709,1.0083,-0.69214,0.52035,-0.4998,0.42458,-0.2707,0.071823,one
1,-1.4997,0.2351,-0.13354,0.68506,-0.14268,-0.11073,-0.046856,0.44746,-0.90717,0.79066,-0.41742,0.26081,-0.34915,0.25114,-0.079233,0.14431,-0.18858,0.32684,-0.41682,0.1884,one
1,-2.2427,2.549,-2.7229,2.2676,-2.2304,3.4436,-3.6388,3.3179,-3.0326,2.4158,-2.4097,2.1829,-1.5279,1.3665,-1.2716,1.0166,-0.63858,0.10906,0.17239,-0.092239,one
1,-2.698,3.5093,-4.1636,4.8722,-5.1236,5.2668,-4.5767,3.6136,-3.3497,2.9631,-2.2557,1.5338,-1.038,0.90644,-0.72169,0.42936,-0.26465,0.25477,-0.23042,0.090685,one
1,-3.1852,4.6464,-4.5952,3.6421,-3.0721,3.4954,-3.4214,2.6285,-2.2224,2.3037,-2.4882,2.0667,-1.2618,1.0431,-1.1014,0.83937,-0.32458,-0.10039,0.14556,-0.029529,one
1,-4.4314,9.533,-13.1194,12.584,-8.8999,5.9434,-5.9518,7.5221,-8.3446,7.9025,-6.8693,5.4439,-3.5803,2.0879,-2.008,2.9965,-3.5247,2.773,-1.3416,0.30365,one
1,-2.3223,2.9205,-3.3528,3.7468,-4.1087,4.6424,-4.5737,4.3084,-4.2313,3.9689,-3.7765,3.5525,-2.9688,2.3971,-1.8643,1.4272,-1.1214,0.70769,-0.28012,0.074955,one
1,-2.6142,3.6539,-4.2121,4.7739,-5.5146,6.3698,-6.5837,6.349,-6.2729,6.106,-5.6872,5.1741,-4.4253,3.5487,-2.7913,2.1385,-1.6304,1.1166,-0.51532,0.1132,one
1,-3.66,6.3685,-6.7903,4.6468,-1.7983,0.53974,-1.1659,1.8308,-1.2617,0.081887,0.36487,0.43633,-1.5696,2.0718,-2.0208,1.8088,-1.5228,1.159,-0.65663,0.19527,one
1,-2.1915,2.2862,-2.1659,1.9981,-2.1118,2.6123,-2.8142,2.9124,-2.8224,2.5985,-2.2036,1.8331,-1.7005,1.4037,-1.0391,0.73231,-0.53596,0.52596,-0.35052,0.08954,one
1,-2.4143,2.7834,-2.5184,1.7438,-0.95064,0.91157,-0.93876,0.96717,-1.2029,1.3903,-1.3364,1.0718,-1.0502,1.1055,-1.0371,1.0365,-0.88773,0.67576,-0.44114,0.13556,one
1,-1.4336,0.24154,-0.10298,0.48883,-0.56398,1.0792,-0.99766,0.79107,-0.5295,0.19945,-0.8348,0.86975,-0.19999,0.26991,-0.23828,0.22379,-0.37683,0.12544,-0.021286,0.066107,one
1,-1.4765,0.42163,-0.037072,0.062586,-0.41239,1.4347,-1.4989,1.0645,-0.28123,-0.33138,-0.63408,1.2589,-0.98511,0.84595,-0.15515,-0.12638,-0.23184,0.37383,-0.45089,0.24976,one
