1,2,3,4,5,6,7,8,9,10,y
-10.4442,0.95369,-1.6924,0.47644,-0.98954,-1.0235,-0.2178,-1.1596,-0.67152,-0.059962,three
0.54789,1.2077,-2.163,0.7977,-0.0078445,-2.1479,-1.6804,-0.68459,-0.16559,-0.019462,three
-22.7144,0.022024,-0.67195,0.004816,0.37178,0.097013,-0.078088,-0.20053,-0.044412,0.023874,three
-1.2339,1.896,-2.3363,0.28322,1.1362,-1.2527,-1.2032,-1.2493,-0.94896,-0.063718,three
-0.84779,1.7748,-1.476,0.71668,0.99944,-0.83776,-0.74387,-0.97238,-0.86456,-0.10192,three
-15.2403,0.068305,0.066177,-0.057648,0.013948,0.0412,-0.080842,-0.11944,-0.091612,-0.02539,three
-2.6998,0.97326,-1.5962,2.6976,0.19863,-1.9521,-0.54999,-0.82451,-0.67424,-0.22863,three
-2.7935,-0.0061662,-2.3219,2.9186,-0.064575,-1.8781,-0.59688,-1.1229,-0.62978,-0.25272,three
1.3421,-0.54087,-2.9997,5.0488,0.53133,-2.2364,-0.69895,-1.2485,-0.28072,-0.23758,three
1.4114,-0.56271,-3.5506,3.7511,0.71676,-2.0368,-0.72078,-0.83249,-0.37848,-0.1351,three
4.0828,-0.15406,-3.3565,0.68655,0.072351,-3.1376,-2.9003,-0.60733,-0.73235,-0.34534,three
-3.6275,-0.49317,-2.3589,-0.56122,0.2392,-0.94947,-2.4906,-0.83861,-0.068419,-0.092313,three
7.9862,0.91857,1.3759,0.08161,1.071,1.1312,-0.20997,-0.75951,-0.23025,-0.033841,three
-8.1639,0.99514,-2.1794,1.6495,1.4784,-0.86611,-1.009,-1.431,-0.64545,-0.049374,three
-12.4666,1.1274,-0.36354,0.22767,0.43181,-0.70361,-1.3505,-0.78561,-0.15184,-0.073778,three
-22.2402,0.0014299,-0.0082894,-0.0058995,0.007327,0.008681,-0.0030589,-0.0068334,-0.00023015,0.0016767,three
