1,2,3,4,5,6,7,8,y
1,-2.1709,1.8171,-1.0139,0.608,-0.4562,0.48045,-0.22382,one
1,-1.7133,1.2934,-0.98713,0.60721,-0.41956,0.71513,-0.39592,one
1,-1.8751,1.3786,-0.7496,0.22222,0.066109,0.2939,-0.26353,one
1,-2.0009,1.8636,-1.6973,1.3864,-0.957,0.95293,-0.49561,one
1,-2.9633,3.9087,-3.0907,1.6487,-0.56016,0.059928,0.03324,one
1,-2.0502,1.655,-1.5151,1.5368,-0.84757,0.50701,-0.28055,one
1,-2.0108,1.3803,-1.0066,1.3037,-0.93795,0.51418,-0.23859,one
1,-2.0413,1.6489,-0.56556,0.16135,-0.32159,0.45983,-0.23325,one
1,-2.2295,2.0289,-1.1196,0.58429,-0.37312,0.30487,-0.11973,one
1,-2.0525,1.7046,-0.76349,0.1735,-0.49118,0.94523,-0.46706,one
1,-2.3364,2.4555,-2.1518,1.8316,-1.5927,1.442,-0.6286,one
1,-1.7171,0.52683,0.2537,-0.010157,-0.067944,0.038059,-0.0031202,one
1,-2.6472,3.1968,-3.0568,3.0096,-2.6546,1.7173,-0.55216,one
1,-2.7115,3.4389,-3.309,3.0749,-2.6946,1.8204,-0.60556,one
1,-2.463,2.8992,-2.926,2.7208,-2.1399,1.4825,-0.56006,one
1,-2.9403,3.999,-3.9299,3.5311,-2.835,1.6829,-0.49659,one
1,-2.2456,2.671,-2.8658,2.841,-2.3468,1.5791,-0.55483,one
1,-2.3238,3.0919,-3.6998,3.6081,-2.6948,1.6536,-0.55712,one
1,-2.5959,3.597,-4.1177,3.9127,-2.7793,1.4799,-0.44097,one
1,-2.3343,3.009,-3.5343,3.4548,-2.6165,1.6388,-0.55697,one
1,-2.4935,3.342,-3.8106,3.6378,-2.5996,1.4289,-0.44304,one
1,-2.2387,2.6206,-2.8789,2.9171,-2.3403,1.477,-0.49273,one
1,-2.8722,4.563,-4.9585,3.7456,-2.0874,0.77736,-0.11787,one
1,-1.7592,0.69614,0.17871,-0.34908,0.013387,0.79052,-0.54897,one
1,-2.3424,2.2587,-1.2478,0.18071,0.11252,0.31895,-0.25431,one
1,-2.7144,4.0695,-4.4949,3.8212,-2.4594,1.2271,-0.38642,one
1,-2.6738,4.3872,-5.3765,4.9816,-3.4283,1.7401,-0.47447,one
1,-2.7372,3.8603,-4.5128,4.3303,-3.366,2.2132,-0.78067,one
1,-2.8361,3.5172,-2.6541,1.3013,-0.40013,0.24449,-0.15567,one
1,-2.3475,2.4893,-2.2709,2.1208,-1.2571,0.28946,0.027438,one
1,-1.3052,-0.34821,0.41361,0.48111,-0.31008,0.46191,-0.37322,one
1,-1.3387,-0.34992,0.49332,0.48229,-0.4671,0.60073,-0.4037,one
1,-1.5038,0.83968,-0.55365,0.36265,-0.59082,0.53443,-0.054737,one
1,-2.302,2.4067,-1.7335,1.2364,-0.90138,0.60249,-0.20391,one
1,-3.3506,5.5611,-6.2374,4.8774,-2.4937,0.78791,-0.12222,one
1,-2.7224,2.7087,-1.4473,0.96953,-0.67552,0.16778,0.006606,one
1,-2.4719,2.7786,-2.2218,1.6685,-0.81623,-0.0033121,0.14317,one
1,-0.7292,-0.12227,-0.71658,0.80784,-0.074026,0.3887,-0.33035,one
1,-2.677,2.8749,-1.7278,0.70893,-0.33561,0.37636,-0.21157,one
1,-2.306,2.6792,-2.3292,1.3777,-0.58822,0.31449,-0.09477,one
1,-2.1038,1.9347,-0.72929,-0.42353,0.51558,0.07983,-0.16166,one
1,-1.6268,0.74323,-0.53982,0.322,0.11852,0.41025,-0.40999,one
1,-1.7822,1.0827,-0.74002,0.47168,0.034908,0.13082,-0.1783,one
1,-2.14,1.8908,-1.6879,1.7794,-0.96055,0.11708,0.025902,one
1,-1.4772,0.59338,-0.48179,0.67418,-0.24955,0.22504,-0.23674,one
1,-1.863,1.1092,-0.34055,0.38885,-0.55856,0.59755,-0.30549,one
1,-2.3788,2.3732,-1.5044,0.52818,0.030948,0.11588,-0.14011,one
1,-3.0523,4.4988,-4.4165,2.9053,-1.0127,0.085507,0.030024,one
1,-3.4122,5.2548,-4.6699,2.1735,0.20171,-0.83568,0.31792,one
1,-3.3546,5.1579,-5.0348,3.3921,-1.3046,0.078312,0.084043,one
