1,2,3,4,5,6,y
1,-2.8642,3.6557,-2.9518,1.5331,-0.35796,one
1,-2.5518,2.6628,-1.6617,0.78522,-0.21233,one
1,-2.9829,4.0475,-3.5804,2.1041,-0.57801,one
1,-2.4835,2.5959,-1.7754,0.89318,-0.21136,one
1,-2.3118,2.2385,-1.7402,1.2002,-0.37144,one
1,-2.3515,2.1297,-1.3543,0.87831,-0.2922,one
1,-2.5684,2.3074,-0.77608,0.091209,-0.037776,one
1,-1.8058,0.52327,0.48428,0.025006,-0.19636,one
1,-1.7084,1.4675,-1.0664,0.49907,-0.05998,one
1,-2.5326,2.4251,-0.97879,0.094969,0.036961,one
1,-2.2037,1.9707,-1.1091,0.52637,-0.13096,one
1,-2.7282,3.5533,-3.1747,1.9282,-0.53939,one
1,-1.8361,1.3622,-0.76088,0.43602,-0.15094,one
1,-2.2956,2.3006,-1.6108,0.92104,-0.29074,one
1,-1.9275,1.0656,0.038037,-0.17209,0.024724,one
1,-2.1985,2.2612,-1.9268,1.4499,-0.53201,one
1,-1.3428,1.2817,-0.94551,0.68547,-0.3553,one
1,-2.1553,1.4591,-0.38631,0.28615,-0.18056,one
1,-2.5916,2.2679,-0.64349,-0.014473,-0.0084977,one
1,-1.8301,0.67801,0.16306,0.24528,-0.23313,one
1,-2.4347,1.8683,-0.3314,-0.047919,-0.04312,one
1,-2.2025,1.3027,0.13775,-0.14919,-0.074255,one
1,-1.749,0.90721,-0.72674,1.1145,-0.49938,one
1,-2.0937,2.0493,-1.726,1.1884,-0.38187,one
1,-2.3017,2.9846,-2.6954,1.6333,-0.50382,one
1,-2.9654,4.1955,-3.8231,2.1647,-0.53983,one
1,-3.0881,4.4977,-4.0943,2.263,-0.55569,one
1,-3.3408,5.1512,-4.7903,2.6721,-0.67584,one
1,-3.2604,4.9058,-4.5002,2.4389,-0.5665,one
1,-2.959,4.2175,-3.9069,2.2619,-0.58554,one
1,-1.5035,0.45819,-0.1808,0.4523,-0.16955,one
1,-2.7022,3.5191,-2.8689,1.538,-0.45523,one
1,-2.5508,3.1899,-2.6974,1.5467,-0.44613,one
1,-2.2861,2.3974,-1.6133,0.6102,-0.028137,one
1,-2.3926,2.4676,-1.5257,0.61351,-0.10569,one
1,-2.7752,3.9027,-3.5256,2.0037,-0.53341,one
1,-2.8864,3.9511,-3.3848,1.7361,-0.36918,one
1,-2.9982,4.0962,-3.4057,1.759,-0.42175,one
1,-1.6906,1.1375,-0.34529,-0.1671,0.069483,one
1,-2.5374,2.9343,-2.5881,1.8786,-0.681,one
1,-2.6821,3.2957,-3.0298,2.0653,-0.64521,one
1,-2.5015,2.8217,-2.5733,1.9471,-0.68934,one
1,-0.81804,0.17476,-0.6734,0.15943,0.17567,one
1,-2.3456,2.3374,-1.8823,1.2971,-0.39942,one
1,-2.8266,4,-3.6043,2.0978,-0.58851,one
1,-1.9027,1.3011,-0.79956,0.63317,-0.18499,one
1,-2.235,2.6926,-2.2475,1.1632,-0.24167,one
1,-2.7077,3.718,-3.268,1.6697,-0.32165,one
1,-2.5025,3.3404,-3.0128,1.6244,-0.34853,one
1,-2.3228,2.3439,-1.5929,0.6855,-0.091824,one
1,-2.2232,2.0918,-1.2897,0.41722,0.028652,one
1,-3.5525,5.6915,-5.4202,3.0965,-0.81043,one
1,-3.6088,5.8855,-5.674,3.2514,-0.8498,one
1,-3.6109,5.8705,-5.6656,3.2615,-0.85166,one
