1,2,3,y
1,-1.574,0.65313,one
1,-1.7383,0.79924,one
1,-1.8346,0.88297,one
1,-1.8106,0.88991,one
1,-1.8333,0.94581,one
1,-1.8772,0.94871,one
1,-1.8241,0.92705,one
1,-1.8867,0.96585,one
1,-1.9094,0.94518,one
1,-1.6535,0.76363,one
1,-1.9084,0.93266,one
1,-1.8974,0.93602,one
1,-1.9057,0.94906,one
1,-1.9251,0.96248,one
1,-1.8916,0.93035,one
1,-1.0588,0.11858,one
1,-1.936,0.95999,one
1,-1.9228,0.94863,one
1,-1.9268,0.94752,one
1,-1.9126,0.93358,one
1,-1.9242,0.93747,one
1,-1.8432,0.85712,one
1,-1.8177,0.85011,one
1,-1.8379,0.90885,one
1,-1.8669,0.93274,one
1,-1.8312,0.90706,one
1,-1.7446,0.87642,one
1,-1.7445,0.87825,one
1,-1.5376,0.70394,one
1,-1.5589,0.72237,one
1,-1.8903,0.94171,one
1,-1.6213,0.70885,one
1,-1.79,0.84175,one
1,-1.7299,0.78947,one
1,-1.8818,0.92837,one
1,-0.64217,-0.17617,one
1,-1.7323,0.79112,one
1,-1.9111,0.94806,one
1,-1.8386,0.88699,one
1,-1.7724,0.81862,one
1,-1.5086,0.63948,one
1,-1.9071,0.94326,one
1,-1.8554,0.89355,one
1,-1.7432,0.85929,one
1,-1.8945,0.93228,one
1,-1.3332,0.50284,one
1,-1.5833,0.69194,one
1,-1.6599,0.7473,one
1,-1.8508,0.90693,one
1,-1.7524,0.80442,one
1,-1.8242,0.86126,one
1,-1.7993,0.84962,one
1,-1.5245,0.56079,one
1,-1.6181,0.65528,one
1,-1.7822,0.87718,one
1,-1.6903,0.73869,one
1,-1.6513,0.71175,one
1,-1.164,0.27469,one
1,-1.7216,0.78687,one
1,-1.8839,0.91781,one
1,-1.6971,0.74524,one
1,-1.6609,0.71371,one
1,-1.5796,0.63324,one
1,-1.6548,0.70274,one
1,-1.7255,0.78379,one
1,-1.4859,0.62226,one
1,-1.4765,0.64182,one
1,-1.6767,0.78954,one
1,-1.1937,0.44379,one
1,-1.8516,0.94954,one
1,-1.808,0.84996,one
1,-1.7591,0.77407,one
1,-1.6669,0.69027,one
1,-1.7785,0.90433,one
1,-1.6149,0.65935,one
1,-1.779,0.82976,one
1,-1.6582,0.71618,one
1,-1.7305,0.82184,one
1,-1.8197,0.88803,one
1,-1.3065,0.62642,one
1,-1.4524,0.65673,one
1,-1.7969,0.82787,one
1,-1.793,0.82662,one
1,-1.8984,0.92361,one
1,-1.847,0.87905,one
1,-1.9058,0.92503,one
1,-1.566,0.69156,one
1,-1.6352,0.72226,one
1,-1.861,0.95695,one
1,-1.8523,0.95241,one
1,-1.5413,0.60505,one
1,-1.835,0.90415,one
1,-1.7426,0.80514,one
1,-1.8209,0.87064,one
1,-1.5468,0.68093,one
1,-1.7631,0.83463,one
1,-1.1789,0.33747,one
1,-1.4434,0.69435,one
1,-1.8406,0.90889,one
1,-1.96,0.99706,one
1,-1.8023,0.88928,one
1,-1.7889,0.88573,one
1,-1.9033,0.96536,one
1,-1.88,0.9596,one
1,-1.6941,0.79763,one
1,-1.7015,0.76849,one
