1,2,3,4,5,6,7,8,9,10,11,y
1,-2.4932,2.8413,-2.2641,2.0716,-2.2041,1.8146,-1.4759,1.4998,-1.1012,0.40216,three
1,-1.1866,0.33799,-0.52023,0.67467,-0.41996,0.30628,-0.44644,0.28891,-0.31219,0.33515,three
1,-2.0659,1.8883,-1.0272,0.49726,-0.62021,0.92409,-0.9009,0.34825,0.049285,-0.042181,three
1,-2.2697,2.5883,-2.0295,1.2647,-0.99042,1.0912,-1.0458,0.49988,-0.082897,0.032527,three
1,-1.6121,1.437,-1.2998,1.211,-1.393,1.0607,-0.72916,0.40942,-0.36025,0.34153,three
1,-1.4727,1.3817,-1.7534,1.6396,-1.3915,1.1089,-0.9744,0.59631,-0.39572,0.32065,three
1,-1.9443,2.0879,-2.1139,1.8663,-1.5304,1.1631,-1.0637,0.81438,-0.50103,0.26676,three
1,-2.0879,2.5333,-2.6806,2.4679,-2.1878,1.6568,-1.2805,0.92909,-0.66492,0.37519,three
1,-2.1011,2.9997,-3.8044,3.814,-3.1307,2.1369,-1.3833,0.67965,-0.25905,0.16527,three
1,-2.6958,4.6987,-6.5589,7.3186,-6.8772,5.3765,-3.6272,1.9973,-0.85684,0.30044,three
1,-2.7315,4.3044,-4.7114,4.0759,-3.6159,3.4331,-3.1812,2.2862,-1.1288,0.32057,three
1,-2.5575,4.014,-4.5278,4.0219,-3.4037,2.7483,-2.2237,1.5225,-0.76655,0.25949,three
1,-2.6041,3.2581,-2.6157,1.696,-1.4622,1.5852,-1.4625,0.92433,-0.41409,0.12571,three
1,-2.9439,4.9391,-6.017,5.948,-4.8835,3.265,-1.8558,0.98093,-0.49436,0.17422,three
1,-2.7806,4.3967,-4.9414,4.4292,-3.4072,2.3544,-1.653,1.1979,-0.71637,0.24643,three
1,-2.0015,2.0119,-1.9879,1.9964,-1.9733,1.9013,-1.4825,0.85252,-0.7071,0.44565,three
1,-1.6449,1.1624,-0.7828,0.61985,-0.88707,0.79603,-0.53922,0.49257,-0.43824,0.28444,three
1,-0.92433,0.084415,0.13852,-0.011084,-0.36367,0.011688,-0.21826,0.5337,-0.32495,0.24754,three
1,-2.5776,2.9551,-2.4163,2.596,-2.9645,2.2632,-1.3393,1.186,-1.0231,0.41703,three
1,-2.5359,2.8932,-2.2537,2.1559,-2.4356,1.9427,-1.1046,0.73684,-0.51267,0.20389,three
1,-2.1629,2.369,-1.5659,1.0141,-1.3555,1.6838,-1.3146,0.58451,-0.24774,0.096408,three
1,-2.2073,2.4192,-1.4882,0.73288,-0.97117,1.4046,-1.1525,0.47094,-0.15455,0.048292,three
1,-1.7497,1.9152,-1.9349,1.5797,-1.3776,0.76582,-0.23636,0.055228,0.0069538,0.11392,three
1,-1.4629,1.0874,-0.46983,0.50214,-1.0415,1.1423,-0.69979,0.22738,-0.21603,0.21286,three
