1,2,3,4,5,y
1,-1.7043,0.8586,-0.24825,0.11891,one
1,-2.35,2.3519,-1.2979,0.3941,one
1,-1.3066,0.076307,0.12395,0.17799,one
1,-2.0103,1.2991,-0.21747,-0.036726,one
1,-1.7158,1.3311,-1.2193,0.69849,one
1,-2.3238,2.4213,-1.5513,0.5325,one
1,-2.5768,2.7829,-1.6159,0.45299,one
1,-2.3896,2.8907,-2.1235,0.73648,one
1,-2.5005,3.0672,-2.2711,0.80994,one
1,-2.1435,1.8273,-0.99881,0.3444,one
1,-2.2228,1.9466,-0.97358,0.276,one
1,-2.7882,3.1278,-1.783,0.45638,one
1,-2.6513,2.9392,-1.7739,0.50622,one
1,-2.3589,1.792,-0.34567,-0.07913,one
1,-2.6827,3.39,-2.5151,0.87555,one
1,-2.7268,3.3957,-2.3976,0.77011,one
1,-2.894,3.3684,-1.8871,0.44963,one
1,-3.1319,3.9458,-2.3651,0.57692,one
1,-1.5953,0.88328,-0.47216,0.25944,one
1,-2.6404,3.1392,-2.1797,0.74235,one
1,-2.5091,2.9309,-2.1416,0.77708,one
1,-1.9629,1.5112,-0.89476,0.40875,one
1,-2.2181,2.4687,-1.8878,0.76382,one
1,-2.4642,2.719,-1.8026,0.60679,one
1,-1.0613,0.13405,-0.09556,0.26218,one
1,-1.6317,1.1852,-0.50004,0.17849,one
1,-2.2964,2.1274,-1.1232,0.35099,one
1,-2.69,2.5898,-1.0428,0.15879,one
1,-2.4452,2.4311,-1.2434,0.31047,one
1,-2.4681,2.5813,-1.4698,0.4228,one
1,-2.4908,2.3599,-1.0821,0.2533,one
1,-2.9312,3.3589,-1.7828,0.37864,one
1,-1.8245,1.2834,-0.62236,0.27998,one
1,-1.6034,0.75298,-0.30489,0.2468,one
1,-2.2844,2.3589,-1.5656,0.57564,one
1,-2.2501,2.0329,-0.99366,0.28945,one
1,-2.2843,1.9173,-0.711,0.14017,one
1,-2.5561,2.4467,-0.98767,0.12205,one
1,-2.9776,3.4119,-1.792,0.37294,one
1,-2.0117,1.0854,0.079678,-0.13743,one
1,-2.098,1.2049,0.072029,-0.16418,one
1,-2.4357,2.69,-1.8868,0.6694,one
1,-2.0733,0.9292,0.62901,-0.46809,one
1,-2.2874,2.1549,-1.1011,0.32495,one
1,-2.3695,2.3851,-1.4244,0.47334,one
1,-2.4398,2.3799,-1.1634,0.28515,one
1,-2.3017,2.1323,-0.99525,0.24866,one
1,-2.2805,2.2284,-1.2766,0.42626,one
1,-2.4247,2.1545,-0.89216,0.1874,one
1,-2.9081,3.4089,-1.8975,0.43899,one
1,-2.4256,2.6375,-1.7758,0.60726,one
1,-2.5384,2.8671,-1.8823,0.60233,one
1,-2.6154,3.293,-2.498,0.89861,one
1,-1.927,1.0622,0.019312,-0.095226,one
1,-2.335,1.9479,-0.59127,0.020574,one
1,-2.0889,1.3359,-0.054916,-0.14496,one
1,-2.5241,2.1029,-0.50734,-0.065518,one
1,-2.3099,2.2356,-1.2363,0.38156,one
1,-2.4654,2.7023,-1.7837,0.60634,one
1,-0.93649,-0.15744,-0.023621,0.36911,one
1,-1.4733,0.57212,-0.40719,0.30925,one
1,-1.5621,0.68937,-0.37408,0.27749,one
1,-1.1829,0.13874,-0.40318,0.51955,one
1,-1.5158,0.8073,-0.79562,0.56465,one
1,-1.9699,1.2544,-0.31499,0.077596,one
1,-2.0977,1.6279,-0.6475,0.18126,one
1,-2.2505,2.4212,-1.597,0.5776,one
1,-1.5784,0.57269,0.023457,0.079896,one
1,-1.1476,0.031155,-0.18908,0.41785,one
1,-1.8555,1.2468,-0.54725,0.27565,one
1,-1.9057,1.5438,-1.0075,0.50262,one
1,-1.6574,1.1362,-0.83926,0.5151,one
1,-2.2186,2.0379,-1.0443,0.31776,one
1,-2.2206,1.9322,-0.95153,0.30062,one
1,-2.285,1.9873,-0.93667,0.2784,one
1,-2.4239,2.3701,-1.2538,0.3571,one
1,-2.4849,2.7296,-1.7994,0.61017,one
1,-2.0676,1.4121,-0.32278,0.020648,one
1,-2.4982,2.8498,-1.9589,0.65805,one
1,-2.463,2.4269,-1.306,0.37189,one
1,-2.463,2.4269,-1.306,0.37189,one
1,-2.7222,2.8621,-1.3176,0.20094,one
1,-2.8028,3.119,-1.6028,0.31564,one
1,-2.3607,1.8523,-0.43421,-0.054529,one
1,-1.373,0.33049,-0.11755,0.19574,one
1,-2.3788,2.6986,-1.9951,0.76694,one
1,-2.2832,2.427,-1.5566,0.52516,one
1,-2.5104,2.7461,-1.6987,0.51911,one
1,-2.7755,3.2124,-1.8984,0.52277,one
1,-2.8444,3.392,-2.0528,0.56638,one
1,-2.8402,3.1211,-1.5559,0.30252,one
1,-2.0268,1.7887,-1.0062,0.3908,one
1,-1.6785,0.87407,-0.46873,0.33403,one
1,-2.2686,2.0556,-1.1338,0.39607,one
1,-1.8342,1.4045,-0.80773,0.40554,one
1,-1.2228,0.034938,0.0096586,0.22377,one
1,-2.5455,2.8105,-1.7123,0.48545,one
1,-2.3853,2.5129,-1.5015,0.43661,one
1,-1.9516,1.5453,-0.71111,0.21087,one
1,-2.388,2.5972,-1.6475,0.51876,one
1,-2.5369,2.8414,-1.8172,0.55991,one
1,-2.0995,1.9555,-1.2611,0.48456,one
1,-2.3011,2.4399,-1.6649,0.60432,one
1,-2.4896,3.0155,-2.2523,0.81479,one
1,-1.4256,0.84547,-0.65402,0.40821,one
1,-2.7438,3.2272,-2.0546,0.62073,one
1,-2.1543,2.0435,-1.3542,0.53008,one
1,-1.9079,1.2262,-0.36341,0.093742,one
1,-2.1981,1.5241,-0.2189,-0.072539,one
1,-2.7186,2.736,-1.192,0.18592,one
1,-2.6557,2.981,-1.8847,0.58247,one
1,-2.4976,2.4191,-1.148,0.2549,one
1,-2.6531,2.9704,-1.8635,0.5706,one
1,-2.402,2.3245,-1.2841,0.38549,one
1,-2.1647,1.847,-1.0542,0.39619,one
1,-2.2904,1.8958,-0.80037,0.20905,one
1,-2.5686,2.2813,-0.6899,-0.0058215,one
1,-1.8731,0.64316,0.61057,-0.34278,one
1,-1.6845,1.4086,-0.98196,0.39803,one
1,-2.5396,2.4647,-1.0699,0.18883,one
1,-2.1721,1.8573,-0.86589,0.2419,one
1,-2.3808,2.5962,-1.7743,0.64405,one
1,-1.8116,1.2764,-0.56822,0.16258,one
1,-2.2151,2.0015,-1.0289,0.27704,one
1,-1.9245,1.0653,0.011698,-0.1245,one
